[2024-08-03 14:21:56,689: INFO: main: Welcome to our custom log]
[2024-08-03 15:40:41,770: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 15:40:41,784: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 15:40:41,786: INFO: common: created directory at: artifacts]
[2024-08-03 15:40:41,788: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-03 15:45:51,156: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 15:45:51,159: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 15:45:51,161: INFO: common: created directory at: artifacts]
[2024-08-03 15:45:51,163: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-03 15:46:06,066: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 15:46:06,069: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 15:46:06,072: INFO: common: created directory at: artifacts]
[2024-08-03 15:46:06,074: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-03 15:48:37,868: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 15:48:37,874: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 15:48:37,876: INFO: common: created directory at: artifacts]
[2024-08-03 15:48:37,878: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-03 16:18:07,756: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 16:18:07,773: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 16:18:07,774: INFO: common: created directory at: artifacts]
[2024-08-03 16:18:07,776: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-03 16:18:12,676: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 16:18:12,682: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 16:18:12,684: INFO: common: created directory at: artifacts]
[2024-08-03 16:18:12,697: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-03 16:27:14,586: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 16:27:14,590: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 16:27:14,592: INFO: common: created directory at: artifacts]
[2024-08-03 16:27:14,594: INFO: common: created directory at: artifacts\data_ingestion]
[2024-08-03 16:27:15,703: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 16:27:15,706: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 16:27:15,708: INFO: common: created directory at: artifacts]
[2024-08-03 16:27:15,710: INFO: common: created directory at: artifacts\data_ingestion]
[2024-08-03 16:31:00,730: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 16:31:00,736: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 16:31:00,738: INFO: common: created directory at: artifacts]
[2024-08-03 16:31:00,740: INFO: common: created directory at: artifacts\data_ingestion]
[2024-08-03 16:31:01,707: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 16:31:01,710: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 16:31:01,711: INFO: common: created directory at: artifacts]
[2024-08-03 16:31:01,714: INFO: common: created directory at: artifacts\data_ingestion]
[2024-08-03 16:31:02,335: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 16:31:02,338: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 16:31:02,340: INFO: common: created directory at: artifacts]
[2024-08-03 16:31:02,343: INFO: common: created directory at: artifacts\data_ingestion]
[2024-08-03 16:31:03,171: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 16:31:03,173: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 16:31:03,175: INFO: common: created directory at: artifacts]
[2024-08-03 16:31:03,176: INFO: common: created directory at: artifacts\data_ingestion]
[2024-08-03 16:31:03,708: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 16:31:03,711: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 16:31:03,712: INFO: common: created directory at: artifacts]
[2024-08-03 16:31:03,713: INFO: common: created directory at: artifacts\data_ingestion]
[2024-08-03 16:34:02,834: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 16:34:02,839: INFO: common: yaml file: params.yaml loaded successfully]
